序号,商品,销售增长率,市场占有率,渠道成熟度,用户好评度,品类
1,黑枸杞粉,7,3.2,4.7,1.4,2
2,舒缓眼膜,6.3,3.3,4.7,1.6,2
3,玫瑰香皂,6.5,2.8,4.6,1.5,2
4,原汁葡萄汁1升,5,3.4,1.5,0.2,1
5,薰衣草香皂,5.2,2.7,3.9,1.4,2
6,小型扫描仪,7.3,2.9,6.3,1.8,3
7,金奇异果5盒装,5.4,3.9,1.7,0.4,1
8,枸杞红枣粉,5.7,2.8,4.5,1.3,2
9,纯净苹果汁1升,4.7,3.2,1.3,0.2,1
10,触控数位板,7.6,3,6.6,2.1,3
11,金属文件夹,7.1,3,5.9,2.1,3
12,黄皮梨6个,4.4,2.9,1.4,0.2,1
13,软垫鼠标垫,6.7,2.5,5.8,1.8,3
14,红宝石蓝莓1袋,4.9,3.1,1.5,0.1,1
15,原味香蕉1袋,5,3.6,1.4,0.2,1
16,透明文件袋,6.5,3,5.8,2.2,3
17,乳木果护发素,5.5,2.3,4,1.3,2
18,极品草莓酸奶1.5升,4.6,3.4,1.4,0.3,1
19,4K超高清显示器,4.9,2.5,4.5,1.7,3
20,护眼桌面灯,6.3,3.3,6,2.5,3
21,植物精油牙膏,4.9,2.4,3.3,1,2
22,电动升降桌,5.8,2.7,5.1,1.9,3
23,纯天然酸奶1.5升,4.9,3,1.4,0.2,1
24,无线蓝牙耳机,6.3,2.9,5.6,1.8,3
25,抗过敏眼药水,6.4,3.2,4.5,1.5,2
26,竹炭牙膏,6.9,3.1,4.9,1.5,2
27,紫皮火龙果5盒装,5.1,3.5,1.4,0.2,1
28,洋甘菊护发素,6.6,2.9,4.6,1.3,2
29,原子笔套装,7.2,3.6,6.1,2.5,3
30,香甜红苹果6个,4.6,3.1,1.5,0.2,1
